Airline,Source,Destination,Stops
3U,SHE,XUZ,0
3U,SHE,YVR,0
3U,SJW,CTU,0
3U,SJW,HRB,0
3U,SJW,KWL,0
3U,SPN,CAN,0
3U,SPN,PVG,0
3U,SWA,CKG,0
3U,SYD,CKG,0
3U,SYX,CKG,0
3U,SYX,CTU,0
3U,SYX,KWE,0
3U,SYX,KWL,0
3U,SYX,MIG,0
3U,SYX,NGB,0
3U,SYX,NKG,0
3U,SYX,TNA,0
3U,SYX,WNZ,0
3U,SYX,YBP,0
3U,SZX,CKG,0
3U,SZX,CTU,0
3U,SZX,WXN,0
3U,TAO,CTU,0
3U,TAO,KMG,0
3U,TNA,CGQ,0
3U,TNA,CKG,0
3U,TNA,CTU,0
3U,TNA,DLC,0
3U,TNA,HRB,0
3U,TNA,KMG,0
3U,TNA,SYX,0
3U,TNA,XIY,0
3U,TPE,KMG,0
3U,TSA,CKG,0
3U,TSA,CTU,0
3U,TSN,CGQ,0
3U,TSN,CKG,0
3U,TSN,CTU,0
3U,TSN,HGH,0
3U,TSN,HRB,0
3U,TSN,LHW,0
3U,TVS,TYN,0
3U,TYN,CKG,0
3U,TYN,CTU,0
3U,TYN,DAT,0
3U,TYN,HGH,0
3U,TYN,SHE,0
3U,TYN,TVS,0
3U,URC,CGO,0
3U,URC,CKG,0
3U,URC,CTU,0
3U,URC,KHG,0
3U,URC,XIY,0
3U,UYN,XIY,0
3U,WNZ,CSX,0
3U,WNZ,CTU,0
3U,WNZ,HRB,0
3U,WNZ,KWE,0
3U,WNZ,SYX,0
3U,WUH,CKG,0
3U,WUH,CTU,0
3U,WUH,HRB,0
3U,WUH,JJN,0
3U,WUH,NNG,0
3U,WUH,NTG,0
3U,WUX,CKG,0
3U,WUX,CTU,0
3U,WXN,CTU,0
3U,WXN,KMG,0
3U,WXN,PEK,0
3U,WXN,SZX,0
3U,XIC,CTU,0
3U,XIY,BHY,0
3U,XIY,CKG,0
3U,XIY,CTU,0
3U,XIY,FOC,0
3U,XIY,GXH,0
3U,XIY,HRB,0
3U,XIY,KMG,0
3U,XIY,LXA,0
3U,XIY,LYI,0
3U,XIY,TNA,0
3U,XIY,URC,0
3U,XIY,UYN,0
3U,XIY,XMN,0
3U,XIY,XNN,0
3U,XIY,YBP,0
3U,XMN,CSX,0
3U,XMN,CTU,0
3U,XMN,CZX,0
3U,XMN,KMG,0
3U,XMN,KOW,0
3U,XMN,XIY,0
3U,XNN,CKG,0
3U,XNN,CTU,0
3U,XNN,LXA,0
3U,XNN,MIG,0
3U,XNN,XIY,0
3U,XNN,ZHY,0
3U,XUZ,CTU,0
3U,XUZ,DLC,0
3U,XUZ,HRB,0
3U,XUZ,KMG,0
3U,XUZ,KWE,0
3U,XUZ,SHE,0
3U,YBP,SYX,0
3U,YBP,XIY,0
3U,YIH,CKG,0
3U,YIH,CTU,0
3U,YIH,HKG,0
3U,YTY,CTU,0
3U,YVR,SHE,0
3U,ZHA,CKG,0
3U,ZHA,HKG,0
3U,ZHY,PEK,0
3U,ZHY,XNN,0
3U,ZUH,CZX,0
3U,ZUH,HAK,0
4B,LAS,LAX,0
4B,LAX,LAS,0
4D,CAI,TLV,0
